Key,"Usage Count",Files,Pattern
messages.language.switched_successfully,2,resources/views/partials/language-switcher.blade.php,messages
messages.language.switch_failed,4,resources/views/partials/language-switcher.blade.php,messages
messages.language.auto_detect_failed,2,resources/views/partials/language-switcher.blade.php,messages
common.loading,2,resources/views/components/language-switcher.blade.php,common
language.switched_successfully,2,resources/views/components/language-switcher.blade.php,language
language.switch_failed,4,resources/views/components/language-switcher.blade.php,language
language.auto_detected,2,resources/views/components/language-switcher.blade.php,language
messages.forgot_password,2,resources/views/components/auth-modal.blade.php,messages
nav.auth.login,4,resources/views/components/auth-modal.blade.php,nav
content.processing,2,resources/views/components/auth-modal.blade.php,content
content.error_occurred,2,resources/views/components/auth-modal.blade.php,content
messages.please_enter_valid_page,2,resources/views/whats-new/media.blade.php,messages
messages.close,2,resources/views/whats-new/media.blade.php,messages
messages.next,2,resources/views/whats-new/media.blade.php,messages
messages.previous,2,resources/views/whats-new/media.blade.php,messages
messages.image,2,resources/views/whats-new/media.blade.php,messages
messages.image_not_found,10,resources/views/whats-new/media.blade.php,messages
messages.loading,2,resources/views/whats-new/media.blade.php,messages
messages.download,2,resources/views/whats-new/media.blade.php,messages
status.sticky,2,resources/views/home.blade.php,status
status.locked,2,resources/views/home.blade.php,status
messages.common.loading,2,resources/views/home.blade.php,messages
messages.common.load_more,2,resources/views/home.blade.php,messages
messages.common.no_more_posts,2,resources/views/home.blade.php,messages
messages.common.error_occurred,2,resources/views/home.blade.php,messages
messages.profile_updated,2,resources/views/user/settings-new.blade.php,messages
messages.password_updated,2,resources/views/user/settings-new.blade.php,messages
messages.preferences_updated,2,resources/views/user/settings-new.blade.php,messages
messages.notifications_updated,2,resources/views/user/settings-new.blade.php,messages
messages.privacy_updated,2,resources/views/user/settings-new.blade.php,messages
messages.saving,2,resources/views/user/settings-new.blade.php,messages
messages.error_occurred,20,"resources/views/user/settings-new.blade.php; resources/views/user/my-threads.blade.php; resources/views/user/bookmarks-new.blade.php",messages
messages.confirm_delete_thread,2,resources/views/user/my-threads.blade.php,messages
messages.confirm_delete_bookmark,2,resources/views/user/bookmarks-new.blade.php,messages
messages.select_bookmarks_first,2,resources/views/user/bookmarks-new.blade.php,messages
messages.confirm_delete_selected_bookmarks,2,resources/views/user/bookmarks-new.blade.php,messages
"Update your account's profile information and email address.",2,resources/views/profile/partials/update-profile-information-form.blade.php,"Update your account's profile information and email address"
pagination.previous,14,"resources/views/vendor/pagination/bootstrap-5.blade.php; resources/views/vendor/pagination/simple-bootstrap-4.blade.php; resources/views/vendor/pagination/simple-default.blade.php; resources/views/vendor/pagination/default.blade.php; resources/views/vendor/pagination/bootstrap-4.blade.php; resources/views/vendor/pagination/semantic-ui.blade.php",pagination
